PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
29Grafo;0.8;33;33;100%;85;108;79%
29Grafo;0.9;25;33;76%;68;108;63%
29Grafo;1.0;26;33;79%;67;108;62%
29Grafo;0.6;25;33;76%;61;108;56%
29Grafo;0.6;33;33;100%;82;108;76%
29Grafo;0.5;33;33;100%;81;108;75%
29Grafo;0.5;33;33;100%;71;108;66%
29Grafo;0.4;25;33;76%;65;108;60%
29Grafo;0.4;33;33;100%;82;108;76%
29Grafo;0.3;33;33;100%;77;108;71%
29Grafo;0.3;33;33;100%;82;108;76%
29Grafo;0.3;33;33;100%;83;108;77%
29Grafo;0.2;33;33;100%;82;108;76%
29Grafo;0.2;33;33;100%;83;108;77%
29Grafo;0.1;33;33;100%;84;108;78%
29Grafo;0.1;33;33;100%;82;108;76%
29Grafo;0.0;33;33;100%;83;108;77%
29Grafo;0.0;33;33;100%;82;108;76%
30Lista;0.7;32;32;100%;54;76;71%
30Lista;1.0;27;32;84%;45;76;59%
30Lista;0.6;27;32;84%;45;76;59%
31CasamentoExato;0.7;40;40;100%;63;205;31%
31CasamentoExato;0.7;40;40;100%;68;205;33%
31CasamentoExato;0.7;40;40;100%;64;205;31%
31CasamentoExato;0.8;40;40;100%;67;205;33%
31CasamentoExato;0.8;40;40;100%;68;205;33%
31CasamentoExato;0.8;40;40;100%;62;205;30%
31CasamentoExato;0.9;40;40;100%;63;205;31%
31CasamentoExato;0.9;39;40;98%;66;205;32%
31CasamentoExato;0.9;39;40;98%;64;205;31%
31CasamentoExato;1.0;40;40;100%;68;205;33%
31CasamentoExato;1.0;40;40;100%;71;205;35%
31CasamentoExato;1.0;39;40;98%;63;205;31%
31CasamentoExato;0.6;40;40;100%;63;205;31%
31CasamentoExato;0.6;40;40;100%;64;205;31%
31CasamentoExato;0.6;40;40;100%;63;205;31%
31CasamentoExato;0.5;40;40;100%;68;205;33%
31CasamentoExato;0.5;40;40;100%;63;205;31%
31CasamentoExato;0.5;40;40;100%;68;205;33%
31CasamentoExato;0.4;40;40;100%;68;205;33%
31CasamentoExato;0.4;40;40;100%;63;205;31%
31CasamentoExato;0.4;40;40;100%;63;205;31%
31CasamentoExato;0.3;40;40;100%;63;205;31%
31CasamentoExato;0.3;40;40;100%;68;205;33%
31CasamentoExato;0.3;40;40;100%;64;205;31%
31CasamentoExato;0.2;40;40;100%;67;205;33%
31CasamentoExato;0.2;40;40;100%;63;205;31%
31CasamentoExato;0.2;40;40;100%;67;205;33%
31CasamentoExato;0.1;40;40;100%;63;205;31%
31CasamentoExato;0.1;40;40;100%;62;205;30%
31CasamentoExato;0.1;40;40;100%;68;205;33%
31CasamentoExato;0.0;40;40;100%;63;205;31%
31CasamentoExato;0.0;40;40;100%;63;205;31%
31CasamentoExato;0.0;40;40;100%;63;205;31%
32CasamentoAproximado;0.7;18;19;95%;23;86;27%
32CasamentoAproximado;0.7;18;19;95%;22;86;26%
32CasamentoAproximado;0.8;18;19;95%;27;86;31%
32CasamentoAproximado;0.8;19;19;100%;22;86;26%
32CasamentoAproximado;0.8;18;19;95%;27;86;31%
32CasamentoAproximado;0.9;18;19;95%;24;86;28%
32CasamentoAproximado;0.9;19;19;100%;22;86;26%
32CasamentoAproximado;1.0;19;19;100%;22;86;26%
32CasamentoAproximado;1.0;19;19;100%;1;86;1%
32CasamentoAproximado;1.0;18;19;95%;23;86;27%
32CasamentoAproximado;0.6;19;19;100%;22;86;26%
32CasamentoAproximado;0.6;18;19;95%;22;86;26%
32CasamentoAproximado;0.6;18;19;95%;27;86;31%
32CasamentoAproximado;0.5;18;19;95%;22;86;26%
32CasamentoAproximado;0.5;18;19;95%;22;86;26%
32CasamentoAproximado;0.5;19;19;100%;22;86;26%
32CasamentoAproximado;0.4;19;19;100%;22;86;26%
32CasamentoAproximado;0.4;19;19;100%;22;86;26%
32CasamentoAproximado;0.4;18;19;95%;24;86;28%
32CasamentoAproximado;0.3;18;19;95%;22;86;26%
32CasamentoAproximado;0.3;19;19;100%;22;86;26%
32CasamentoAproximado;0.3;18;19;95%;24;86;28%
32CasamentoAproximado;0.2;18;19;95%;29;86;34%
32CasamentoAproximado;0.2;19;19;100%;22;86;26%
32CasamentoAproximado;0.2;18;19;95%;22;86;26%
32CasamentoAproximado;0.1;18;19;95%;24;86;28%
32CasamentoAproximado;0.1;18;19;95%;22;86;26%
32CasamentoAproximado;0.1;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
33Identifier;0.7;21;22;95%;63;114;55%
33Identifier;0.9;21;22;95%;65;114;57%
33Identifier;1.0;22;22;100%;51;114;45%
